Kudos Date,Kudos Type,Parent ID
"Aug 11, 2018, 1:28:57 PM",Activity,1764453220
"Aug 11, 2018, 4:06:50 PM",Activity,1765033859
"Aug 11, 2018, 10:40:31 PM",Activity,1765288722
"Aug 13, 2018, 12:50:09 PM",Activity,1769148496
"Aug 13, 2018, 12:58:20 PM",Activity,1768496101
"Aug 13, 2018, 12:58:27 PM",Activity,1767685173
"Aug 13, 2018, 12:58:32 PM",Activity,1766950946
"Aug 14, 2018, 11:12:01 AM",Activity,1770260355
"Aug 15, 2018, 2:47:57 AM",Activity,1772573019
"Aug 16, 2018, 1:52:09 PM",Activity,1776050898
"Aug 16, 2018, 6:40:49 PM",Activity,1774202271
"Aug 17, 2018, 2:22:02 AM",Activity,1777419240
"Aug 17, 2018, 2:22:15 AM",Activity,1777161987
"Aug 17, 2018, 8:31:11 PM",Activity,1778091463
"Aug 18, 2018, 5:09:28 PM",Activity,1780725995
"Aug 18, 2018, 5:09:43 PM",Activity,1780649762
"Aug 18, 2018, 5:09:47 PM",Activity,1780928100
"Aug 18, 2018, 11:31:24 PM",Activity,1781278238
"Aug 19, 2018, 11:55:13 AM",Activity,1780863503
"Aug 19, 2018, 11:15:26 PM",Activity,1784057082
"Aug 19, 2018, 11:48:29 PM",Activity,1784246997
"Aug 22, 2018, 10:58:19 PM",Activity,1789550077
"Aug 24, 2018, 12:43:03 PM",Activity,1791978769
"Aug 24, 2018, 12:43:09 PM",Activity,1791982679
"Aug 24, 2018, 12:43:51 PM",Activity,1791003436
"Aug 25, 2018, 2:38:56 AM",Activity,1795024614
"Aug 25, 2018, 10:59:43 PM",Activity,1796845266
"Aug 25, 2018, 10:59:44 PM",Activity,1796706368
"Aug 25, 2018, 10:59:57 PM",Activity,1796446636
"Aug 25, 2018, 11:00:15 PM",Activity,1796466412
"Aug 25, 2018, 11:02:12 PM",Activity,1796790708
"Aug 26, 2018, 10:28:09 PM",Activity,1798244242
"Aug 27, 2018, 12:48:17 PM",Activity,1800618602
"Aug 27, 2018, 12:48:22 PM",Activity,1800009396
"Aug 27, 2018, 12:48:30 PM",Activity,1798925457
"Aug 29, 2018, 3:20:30 AM",Activity,1804425639
"Aug 29, 2018, 3:20:32 AM",Activity,1804141192
"Aug 29, 2018, 3:22:04 AM",Activity,1801679421
"Aug 29, 2018, 12:39:11 PM",Activity,1804498847
"Aug 30, 2018, 2:34:05 PM",Activity,1807399426
"Aug 30, 2018, 2:34:16 PM",Activity,1807332472
"Aug 30, 2018, 2:34:28 PM",Activity,1806627364
"Aug 30, 2018, 2:35:08 PM",Activity,1806081442
"Aug 30, 2018, 2:35:12 PM",Activity,1806356828
"Sep 1, 2018, 2:40:03 AM",Activity,1810461092
"Sep 1, 2018, 3:58:20 PM",Activity,1812090713
"Sep 1, 2018, 3:58:25 PM",Activity,1811850102
"Sep 1, 2018, 7:51:01 PM",Activity,1812454778
"Sep 1, 2018, 7:51:07 PM",Activity,1812417561
"Sep 1, 2018, 7:51:15 PM",Activity,1812173706
"Sep 2, 2018, 2:47:59 PM",Activity,1814517257
"Sep 2, 2018, 2:48:13 PM",Activity,1814356743
"Sep 2, 2018, 10:43:21 PM",Activity,1815549001
"Sep 3, 2018, 2:38:52 PM",Activity,1816478964
"Sep 3, 2018, 2:39:05 PM",Activity,1816436728
"Sep 3, 2018, 2:39:07 PM",Activity,1816541989
"Sep 3, 2018, 8:07:30 PM",Activity,1816581610
"Sep 4, 2018, 1:48:19 AM",Activity,1817462370
"Sep 5, 2018, 1:34:50 AM",Activity,1820071602
"Sep 7, 2018, 2:12:37 AM",Activity,1824374425
"Sep 7, 2018, 2:13:24 AM",Activity,1823199929
"Sep 8, 2018, 3:22:26 PM",Activity,1827565813
"Sep 8, 2018, 3:22:29 PM",Activity,1827482227
"Sep 8, 2018, 3:23:00 PM",Activity,1827668778
"Sep 9, 2018, 1:32:54 AM",Activity,1828606310
"Sep 9, 2018, 1:56:47 AM",Activity,1827730157
"Sep 10, 2018, 10:05:19 PM",Activity,1831832938
"Sep 11, 2018, 10:10:40 AM",Activity,1833172349
"Sep 11, 2018, 6:29:24 PM",Activity,1834914414
"Sep 12, 2018, 2:06:33 AM",Activity,1835454148
"Sep 13, 2018, 2:33:34 AM",Activity,1837707536
"Sep 13, 2018, 2:33:50 AM",Activity,1837379432
"Sep 13, 2018, 9:56:35 PM",Activity,1838923006
"Sep 14, 2018, 5:19:27 PM",Activity,1840719804
"Sep 15, 2018, 1:05:25 PM",Activity,1842833307
"Sep 15, 2018, 11:07:57 PM",Activity,1843084995
"Sep 15, 2018, 11:08:14 PM",Activity,1842868641
"Sep 16, 2018, 3:14:32 PM",Activity,1845573420
"Sep 16, 2018, 11:01:18 PM",Activity,1846769181
"Sep 17, 2018, 11:28:42 PM",Activity,1848696030
"Sep 19, 2018, 1:36:09 AM",Activity,1850890367
"Sep 19, 2018, 1:04:54 PM",Activity,1851809406
"Sep 20, 2018, 12:52:25 AM",Activity,1852525645
"Sep 20, 2018, 12:30:07 PM",Activity,1854072099
"Sep 20, 2018, 10:40:40 PM",Activity,1855220474
"Sep 23, 2018, 1:17:00 AM",Activity,1858995876
"Sep 23, 2018, 1:17:06 AM",Activity,1858993996
"Sep 23, 2018, 3:19:02 PM",Activity,1860662930
"Sep 23, 2018, 3:19:04 PM",Activity,1860811115
"Sep 23, 2018, 3:19:12 PM",Activity,1860881513
"Sep 23, 2018, 3:19:24 PM",Activity,1860564250
"Sep 23, 2018, 3:19:31 PM",Activity,1859480667
"Sep 23, 2018, 8:53:09 PM",Activity,1861362822
"Sep 24, 2018, 1:22:06 PM",Activity,1862443964
"Sep 24, 2018, 10:33:59 PM",Activity,1863408326
"Sep 24, 2018, 10:34:04 PM",Activity,1863615732
"Sep 25, 2018, 4:03:52 PM",Activity,1864364117
"Sep 26, 2018, 12:44:57 AM",Activity,1865878478
"Sep 26, 2018, 10:18:40 AM",Activity,1866053151
"Sep 26, 2018, 9:17:58 PM",Activity,1867593474
"Sep 27, 2018, 11:21:51 AM",Activity,1868107353
"Sep 27, 2018, 10:48:11 PM",Activity,1869891847
"Sep 27, 2018, 10:48:20 PM",Activity,1869850183
"Sep 29, 2018, 3:16:59 PM",Activity,1873123736
"Sep 29, 2018, 3:45:59 PM",Activity,1873206125
"Sep 29, 2018, 6:58:42 PM",Activity,1873240853
"Sep 29, 2018, 9:31:59 PM",Activity,1873845232
"Sep 30, 2018, 11:42:17 AM",Activity,1873681272
"Sep 30, 2018, 11:36:01 PM",Activity,1876514746
"Sep 30, 2018, 11:36:11 PM",Activity,1875853168
"Oct 1, 2018, 12:40:09 PM",Activity,1877359209
"Oct 1, 2018, 5:23:17 PM",Activity,1877263737
"Oct 2, 2018, 10:14:01 AM",Activity,1878538770
"Oct 2, 2018, 9:46:25 PM",Activity,1880351830
"Oct 3, 2018, 11:25:13 AM",Activity,1880676674
"Oct 3, 2018, 11:25:22 AM",Activity,1880677100
"Oct 3, 2018, 10:00:17 PM",Activity,1882512652
"Oct 3, 2018, 10:37:17 PM",Activity,1881203734
"Oct 4, 2018, 4:01:02 PM",Activity,1883557834
"Oct 4, 2018, 10:03:16 PM",Activity,1884515108
"Oct 6, 2018, 2:02:22 AM",Activity,1885513926
"Oct 6, 2018, 2:02:34 AM",Activity,1885514250
"Oct 6, 2018, 1:54:09 PM",Activity,1887605944
"Oct 6, 2018, 5:02:46 PM",Activity,1887801462
"Oct 6, 2018, 6:32:54 PM",Activity,1887767986
"Oct 6, 2018, 6:32:55 PM",Activity,1888049487
"Oct 6, 2018, 6:33:06 PM",Activity,1887953949
"Oct 6, 2018, 6:33:22 PM",Activity,1887992078
"Oct 6, 2018, 6:33:27 PM",Activity,1888017096
"Oct 8, 2018, 2:48:18 PM",Activity,1890794414
"Oct 8, 2018, 2:50:07 PM",Activity,1890749437
"Oct 8, 2018, 2:50:18 PM",Activity,1891935803
"Oct 10, 2018, 12:37:54 AM",Activity,1894906127
"Oct 10, 2018, 4:28:27 PM",Activity,1895931000
"Oct 10, 2018, 4:28:49 PM",Activity,1895315322
"Oct 10, 2018, 9:33:39 PM",Activity,1897020830
"Oct 13, 2018, 2:49:05 PM",Activity,1901991222
"Oct 14, 2018, 1:12:06 AM",Activity,1902191962
"Oct 14, 2018, 1:12:26 AM",Activity,1902037217
"Oct 14, 2018, 2:23:43 PM",Activity,1904431067
"Oct 14, 2018, 2:24:00 PM",Activity,1904435948
"Oct 15, 2018, 2:23:32 PM",Activity,1906285329
"Oct 15, 2018, 2:23:39 PM",Activity,1906121304
"Oct 15, 2018, 2:25:52 PM",Activity,1905526571
"Oct 15, 2018, 2:26:04 PM",Activity,1905281267
"Oct 16, 2018, 11:26:34 AM",Activity,1907652673
"Oct 16, 2018, 11:26:42 AM",Activity,1907330039
"Oct 16, 2018, 11:26:59 AM",Activity,1907396194
"Oct 17, 2018, 12:40:44 PM",Activity,1909499146
"Oct 17, 2018, 10:16:28 PM",Activity,1911057863
"Oct 17, 2018, 10:16:33 PM",Activity,1911283444
"Oct 17, 2018, 10:16:36 PM",Activity,1911283570
"Oct 18, 2018, 11:31:29 PM",Activity,1912428569
"Oct 18, 2018, 11:32:04 PM",Activity,1913225685
"Oct 19, 2018, 5:30:23 PM",Activity,1913742528
"Oct 20, 2018, 3:39:53 PM",Activity,1916280981
"Oct 20, 2018, 9:44:34 PM",Activity,1916427449
"Oct 20, 2018, 9:44:43 PM",Activity,1916520851
"Oct 20, 2018, 9:44:54 PM",Activity,1916628766
"Oct 20, 2018, 9:45:07 PM",Activity,1916686286
"Oct 20, 2018, 11:44:57 PM",Activity,1916360855
"Oct 21, 2018, 12:59:29 AM",Activity,1917056533
"Oct 21, 2018, 12:59:36 AM",Activity,1916706355
"Oct 21, 2018, 11:52:14 AM",Activity,1916895400
"Oct 22, 2018, 10:49:27 AM",Activity,1918797284
"Oct 22, 2018, 6:14:55 PM",Activity,1920655854
"Oct 22, 2018, 6:19:00 PM",Activity,1919995738
"Oct 22, 2018, 6:19:08 PM",Activity,1918773611
"Oct 22, 2018, 7:53:59 PM",Activity,1921342827
"Oct 23, 2018, 12:57:34 AM",Activity,1921726568
"Oct 23, 2018, 12:57:44 AM",Activity,1921566577
"Oct 23, 2018, 12:57:46 AM",Activity,1921485277
"Oct 23, 2018, 2:08:25 AM",Activity,1921804595
"Oct 23, 2018, 6:17:45 PM",Activity,1922728904
