Comment Date,Comment
"Jun 3, 2020, 4:53:06 PM",500 miles in 10 weeks?  That’s a cutback for you isn’t it?  🏴‍☠️ 
"Jun 9, 2020, 6:50:15 PM",Bike ride as run.  (he has pictures of the bike)
"Jun 10, 2020, 11:30:51 AM","I really dislike the treadmill, but it's better than heatstroke.  "
"Jul 13, 2020, 10:37:47 PM",rode a bike 
"Jul 18, 2020, 10:22:24 PM",bike ride as run
"Aug 15, 2020, 3:31:09 PM",Thanks!  It felt much better than last week
"Aug 15, 2020, 3:54:13 PM",😳 20 in August!  Well done!
"Aug 27, 2020, 2:56:57 PM",😂 “just” 60-ish. 
"Sep 3, 2020, 5:55:52 PM",ride saved as run.  two people who rode with him correctly loaded as rides.
"Sep 3, 2020, 5:57:12 PM",multiple miles faster than world record pace
"Sep 3, 2020, 5:58:24 PM",ride saved as run.  faster than world record pace.  person with him correctly coded as ride
"Sep 3, 2020, 6:01:55 PM",ride loaded as run
"Sep 16, 2020, 2:41:22 PM",Don't worry.  Just resting up so I can go a little faster for tomorrow's 10
"Oct 3, 2020, 5:34:00 PM",Virtual tough mudder?  Race walking?  Now is the time to try it all. 
"Oct 5, 2020, 7:43:19 PM",Thanks 🖤🐺Erica K 🖤🐺. That looks like it could work if they go in-person. 
"Oct 5, 2020, 7:47:16 PM","Glenn McRill I’m planning on running Austin as well if it happens, but I’d like something flatter before that so I can take a shot at sub-3. "
"Oct 13, 2020, 2:14:24 PM",Welcome back!
"Oct 17, 2020, 5:16:05 PM",👍 
"Oct 27, 2020, 1:52:23 PM",Did you tell them that according to your Garmin the course is short?
"Nov 21, 2020, 8:00:10 PM","Yeah, solo 20-milers aren't fun.  I'd be in for next week, just let me know where you all are meeting up."
"Nov 24, 2020, 8:42:11 PM",faster than WR pace
"Nov 24, 2020, 8:43:03 PM",pace for segment not possible
"Nov 24, 2020, 8:43:51 PM",pace for segment not possible
"Nov 26, 2020, 1:18:46 AM","faster than possible, and activity is titled ""ride"" but saved as run"
"Nov 26, 2020, 4:44:50 PM",🤫 It’s a pretty good downhill. That’s the hardest I’ve pushed the hamstring since last year though. I may finally be ready to get back on the track for some real speed work. 
"Dec 11, 2020, 3:42:14 PM",Thanks Taylor T !  
"Dec 13, 2020, 5:28:56 PM","Nice run, and great job getting Gerry out of bed before 9 am!"
"Dec 27, 2020, 4:30:42 PM","Thanks Dawn Stadnyk. I’m hoping to get a sub-3 attempt somewhere in Feb. I’m signed up for run2bq, with Galveston as a back up."
"Jan 20, 2021, 3:26:36 PM",I sure do Kristopher koch!  Proximity to the park or the greenway was a big selling point when we were looking for a house.
"Jan 20, 2021, 3:34:25 PM","Congrats Kristopher koch !  That house is right around the corner from us.  It's a great location, and we like the neighborhood a lot."
"Feb 7, 2021, 5:41:58 PM",😂 Solid win! Just a totally normal 8 mile warm up and 5 mile cool down. 
"Feb 21, 2021, 7:11:26 PM",🔥 🔥 🔥
"Mar 6, 2021, 4:27:29 PM",Well done!
"Mar 21, 2021, 9:13:34 PM",Glad to hear you’re up and about!
"Apr 5, 2021, 2:13:10 AM",I think maybe it’s the inaccuracy of the Garmin’s wrist-based heart rate. There’s no way my HR really stayed in the 140s. 
"Apr 9, 2021, 2:09:28 PM",Congratulations!! 
"Apr 30, 2021, 2:22:59 PM",Still flooded?  Everything was underwater yesterday.
"May 22, 2021, 4:15:32 PM",Congrats!
"Jun 16, 2021, 3:21:52 PM",WR pace
"Jun 16, 2021, 3:23:17 PM",Not physically possible
"Jun 22, 2021, 4:44:40 PM",Hernan Rozemberg We must have!  Not sure how I missed you?
"Jun 23, 2021, 9:14:25 PM","Sylvia Prabudy Clark was open, but I started out looking for something a little closer to home.  Churchill HS was locked. Bradley, Driscoll, and Harris Middle schools all had shiny new fences installed with padlocks. I didn’t know Eisenhower had a track, I’ll try that next time!"
"Jul 17, 2021, 3:26:21 PM",Thanks Robert Gonzalez. Looks like you all put some strong work in as well!
"Jul 26, 2021, 1:49:47 PM",Nice! Congrats on the win!
"Sep 2, 2021, 5:42:46 PM",Roughly 3 times faster than WR pace for a mile...
"Sep 2, 2021, 5:44:59 PM",Has a 1 minute mile on a segment.
"Sep 2, 2021, 5:46:17 PM",Impossible run time of 1:15 on a mile+ segment (why drive...)
